dataset,task,model,seed,validation_score,validation_score_metric,best_params,test_rmse,test_mae,test_r2,test_accuracy,test_auc_roc,training_time_seconds,inference_time_per_sample_seconds,train_size,validation_size,test_size,feature_dim,created_at,result_path,validation_accuracy,validation_auc_roc,validation_mae,validation_r2,validation_rmse
diabetes_dataset,classification,random_forest,42,0.9719,accuracy,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300, ""n_jobs"": -1, ""name"": ""rf_clf_regularized""}",,,,0.9723,0.965250337512054,0.8436974580399692,2.4754083511652425e-06,60000,20000,20000,76,2026-04-23T00:05:19+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw/diabetes_dataset__random_forest__seed_42.json,0.9719,0.9665113468338156,,,
diabetes_dataset,classification,xgboost,42,0.97215,accuracy,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""n_jobs"": 1, ""name"": ""xgb_clf_depth3_lr005"", ""reg_lambda"": 1.0, ""subsample"": 0.9}",,,,0.9727,0.9787931372549019,0.8359722080058418,1.7979708005441352e-06,60000,20000,20000,76,2026-04-23T00:05:34+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw/diabetes_dataset__xgboost__seed_42.json,0.97215,0.9784291224686597,,,
diabetes_dataset,classification,xrfm,42,0.9698,accuracy,"{""min_subset_size"": 5000, ""name"": ""xrfm_l2_small"", ""rfm_params"": {""fit"": {""M_batch_size"": 1000, ""early_stop_rfm"": true, ""iters"": 3, ""reg"": 0.001, ""verbose"": false}, ""model"": {""bandwidth"": 5.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}, ""split_method"": ""top_vector_agop_on_subset"", ""tuning_metric"": null, ""tuning_metric_by_task"": {""classification"": ""accuracy"", ""regression"": ""mse""}}",,,,0.97,0.9685604307296689,236.66523387504276,2.4883112497627735e-05,60000,20000,20000,76,2026-04-23T00:14:15+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw/diabetes_dataset__xrfm__seed_42.json,0.9698,0.9671597557055609,,,
heart_disease_uci,classification,random_forest,42,0.8043478260869565,accuracy,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300, ""n_jobs"": -1, ""name"": ""rf_clf_regularized""}",,,,0.8641304347826086,0.9281444285031085,0.16154149995418265,6.883197815825596e-05,552,184,184,29,2026-04-23T00:03:51+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw/heart_disease_uci__random_forest__seed_42.json,0.8043478260869565,0.8747010999521759,,,
heart_disease_uci,classification,xgboost,42,0.7880434782608695,accuracy,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""n_jobs"": 1, ""name"": ""xgb_clf_depth5_lr005"", ""reg_lambda"": 1.0, ""subsample"": 0.9}",,,,0.8532608695652174,0.910210425633668,0.025997042015660554,4.133380412974435e-06,552,184,184,29,2026-04-23T00:04:01+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw/heart_disease_uci__xgboost__seed_42.json,0.7880434782608695,0.849713055954089,,,
heart_disease_uci,classification,xrfm,42,0.8043478260869565,accuracy,"{""min_subset_size"": 10000, ""name"": ""xrfm_l2_medium"", ""rfm_params"": {""fit"": {""M_batch_size"": 1000, ""early_stop_rfm"": true, ""iters"": 5, ""reg"": 0.001, ""verbose"": false}, ""model"": {""bandwidth"": 10.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}, ""split_method"": ""top_vector_agop_on_subset"", ""tuning_metric"": null, ""tuning_metric_by_task"": {""classification"": ""accuracy"", ""regression"": ""mse""}}",,,,0.8586956521739131,0.8946078431372549,0.014090250013396144,2.056385868775618e-06,552,184,184,29,2026-04-23T00:04:13+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw/heart_disease_uci__xrfm__seed_42.json,0.8043478260869565,0.8540172166427547,,,
online_news_popularity,regression,random_forest,42,14017.665340712094,rmse,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1, ""name"": ""rf_reg_shallow""}",10810.10175341508,3005.8936939556593,0.03160252470928315,,,0.7719430410070345,3.3511476853042784e-06,23786,7929,7929,59,2026-04-23T00:05:30+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw/online_news_popularity__random_forest__seed_42.json,,,3054.5662762904813,0.01603026649044348,14017.665340712094
online_news_popularity,regression,xgboost,42,14154.033557452649,rmse,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""n_jobs"": 1, ""name"": ""xgb_reg_depth3_lr005"", ""reg_lambda"": 1.0, ""subsample"": 0.9}",10883.391507057931,3066.765678783912,0.01842703282577085,,,0.40185041597578675,8.838178849756635e-07,23786,7929,7929,59,2026-04-23T00:05:40+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw/online_news_popularity__xgboost__seed_42.json,,,3120.470035540951,-0.003207584853002876,14154.033557452649
online_news_popularity,regression,xrfm,42,14092.939885276664,rmse,"{""min_subset_size"": 5000, ""name"": ""xrfm_l2_small"", ""rfm_params"": {""fit"": {""M_batch_size"": 1000, ""early_stop_rfm"": true, ""iters"": 3, ""reg"": 0.001, ""verbose"": false}, ""model"": {""bandwidth"": 5.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}, ""split_method"": ""top_vector_agop_on_subset"", ""tuning_metric"": null, ""tuning_metric_by_task"": {""classification"": ""accuracy"", ""regression"": ""mse""}}",10771.67729556916,2757.856214519707,0.03847461845331235,,,21.890177250024863,1.800662656538428e-05,23786,7929,7929,59,2026-04-23T00:15:21+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw/online_news_popularity__xrfm__seed_42.json,,,2825.0438972547236,0.005434101843955319,14092.939885276664
student_dropout_academic_success,classification,random_forest,42,0.7774011299435029,accuracy,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""name"": ""rf_clf_default""}",,,,0.7604519774011299,0.8865566079862797,0.19783000001916662,3.0094350288269548e-05,2654,885,885,235,2026-04-23T00:05:22+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw/student_dropout_academic_success__random_forest__seed_42.json,0.7774011299435029,0.8814493247661209,,,
